name | name
Roger | Jack
Evelyn | Larry
Ernest | Berthold
Kathryn | Danielle
Evelyn | Melissa
Madison | James
Russell | Philip
Kimberly | Jacqueline
Bobby | Doris
Victoria | Anna
id | abbreviation | full_name | city
1 | ORD | O'Hare International Airport | Chicago
2 | PEK | Beijing Capital International Airport | Beijing
3 | LAX | Los Angeles International Airport | Los Angeles
4 | LHR | Heathrow Airport | London
5 | DFS | Dallas/Fort Worth International Airport | Dallas
6 | BOS | Logan International Airport | Boston
7 | DXB | Dubai International Airport | Dubai
8 | CSF | Fiftyville Regional Airport | Fiftyville
9 | HND | Tokyo International Airport | Tokyo
10 | CDG | Charles de Gaulle Airport | Paris
11 | SFO | San Francisco International Airport | San Francisco
12 | DEL | Indira Gandhi International Airport | Delhi
flight_id | passport_number | seat | id | origin_airport_id | destination_airport_id | year | month | day | hour | minute | id | name | phone_number | passport_number | license_plate
36        | 7214083635      | 2A   | 36 | 8                 | 4                      | 2020 | 7 | 29 | 8 | 20 | 953679 | Doris | (066) 555-9701 | 7214083635 | M51FA04
36        | 1695452385      | 3B   | 36 | 8                 | 4                      | 2020 | 7 | 29 | 8 | 20 | 398010 | Roger | (130) 555-0289 | 1695452385 | G412CB7
36        | 5773159633      | 4A   | 36 | 8                 | 4                      | 2020 | 7 | 29 | 8 | 20 | 686048 | Ernest | (367) 555-5533 | 5773159633 | 94KL13X
36        | 1540955065      | 5C   | 36 | 8                 | 4 | 2020 | 7 | 29 | 8 | 20 | 651714 | Edward | (328) 555-1152 | 1540955065 | 130LD9Z
36        | 8294398571      | 6C   | 36 | 8                 | 4 | 2020 | 7 | 29 | 8 | 20 | 560886 | Evelyn | (499) 555-9472 | 8294398571 | 0NTHK55
36 | 1988161715 | 6D | 36 | 8 | 4 | 2020 | 7 | 29 | 8 | 20 | 449774 | Madison | (286) 555-6063 | 1988161715 | 1106N58
36 | 9878712108 | 7A | 36 | 8 | 4 | 2020 | 7 | 29 | 8 | 20 | 395717 | Bobby | (826) 555-1652 | 9878712108 | 30G67EN
36 | 8496433585 | 7B | 36 | 8 | 4 | 2020 | 7 | 29 | 8 | 20 | 467400 | Danielle | (389) 555-5198 | 8496433585 | 4328GD8
43 | 7597790505 | 7B | 43 | 8 | 1 | 2020 | 7 | 29 | 9 | 30 | 750165 | Daniel | (971) 555-6468 | 7597790505 | FLFN3W0
43 | 6128131458 | 8A | 43 | 8 | 1 | 2020 | 7 | 29 | 9 | 30 | 423393 | Carol | (168) 555-6126 | 6128131458 | 81MNC9R
43 | 6264773605 | 9A | 43 | 8 | 1 | 2020 | 7 | 29 | 9 | 30 | 341739 | Rebecca | (891) 555-5672 | 6264773605 | 
43 | 3642612721 | 2C | 43 | 8 | 1 | 2020 | 7 | 29 | 9 | 30 | 745650 | Sophia | (027) 555-1068 | 3642612721 | 13FNH73
43 | 4356447308 | 3B | 43 | 8 | 1 | 2020 | 7 | 29 | 9 | 30 | 210641 | Heather | (502) 555-6712 | 4356447308 | 
43 | 7441135547 | 4A | 43 | 8 | 1 | 2020 | 7 | 29 | 9 | 30 | 354903 | Marilyn | (568) 555-3190 | 7441135547 | 0R0FW39
23 | 4149859587 | 7D | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 447494 | Dennis |  | 4149859587 | 
23 | 9183348466 | 8A | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 809265 | Jose | (914) 555-5994 | 9183348466 | 
23 | 7378796210 | 9B | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 753885 | Jennifer | (911) 555-0229 | 7378796210 | 1K44SN8
23 | 7874488539 | 2C | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 325548 | Brandon | (771) 555-6667 | 7874488539 | R3G7486
